geo,year,min_wage_eur,unemployment_rate,region
BE,2009,1388.0,8.0,Western Europe
BE,2010,1388.0,8.4,Western Europe
BE,2011,1415.0,7.2,Western Europe
BE,2012,1444.0,7.6,Western Europe
BE,2013,1502.0,8.6,Western Europe
BE,2014,1502.0,8.7,Western Europe
BE,2015,1502.0,8.7,Western Europe
BE,2016,1502.0,7.9,Western Europe
BE,2017,1532.0,7.2,Western Europe
BE,2018,1563.0,6.0,Western Europe
BE,2019,1594.0,5.5,Western Europe
BE,2020,1594.0,5.8,Western Europe
BE,2021,1626.0,6.3,Western Europe
BE,2022,1658.0,5.6,Western Europe
BE,2023,1955.0,5.5,Western Europe
BE,2024,1994.0,5.7,Western Europe
BE,2025,2070.0,6.2,Western Europe
BG,2009,123.0,7.9,Eastern Europe
BG,2010,123.0,11.3,Eastern Europe
BG,2011,123.0,12.3,Eastern Europe
BG,2012,138.0,13.3,Eastern Europe
BG,2013,159.0,13.9,Eastern Europe
BG,2014,174.0,12.4,Eastern Europe
BG,2015,184.0,10.1,Eastern Europe
BG,2016,215.0,8.6,Eastern Europe
BG,2017,235.0,7.2,Eastern Europe
BG,2018,261.0,6.2,Eastern Europe
BG,2019,286.0,5.2,Eastern Europe
BG,2020,312.0,6.1,Eastern Europe
BG,2021,332.0,5.2,Eastern Europe
BG,2022,332.0,4.2,Eastern Europe
BG,2023,399.0,4.3,Eastern Europe
BG,2024,477.0,4.2,Eastern Europe
BG,2025,551.0,3.5,Eastern Europe
CY,2023,940.0,5.8,Southern Europe
CY,2024,1000.0,4.9,Southern Europe
CY,2025,1000.0,4.4,Southern Europe
CZ,2009,11.272933610743333,6.7,Eastern Europe
CZ,2010,11.944312608764436,7.3,Eastern Europe
CZ,2011,12.972753151687678,6.7,Eastern Europe
CZ,2012,12.326533858205098,7.0,Eastern Europe
CZ,2013,12.240184757505773,7.0,Eastern Europe
CZ,2014,11.257989540964555,6.1,Eastern Europe
CZ,2015,12.170534110487921,5.1,Eastern Europe
CZ,2016,13.538507065177185,4.0,Eastern Europe
CZ,2017,15.460001519410469,2.9,Eastern Europe
CZ,2018,18.637657425819786,2.2,Eastern Europe
CZ,2019,20.218153486560187,2.0,Eastern Europe
CZ,2020,21.735021735021736,2.6,Eastern Europe
CZ,2021,22.581903276131044,2.8,Eastern Europe
CZ,2022,26.54074737441993,2.2,Eastern Europe
CZ,2023,29.870021663056157,2.6,Eastern Europe
CZ,2024,30.4140127388535,2.6,Eastern Europe
CZ,2025,33.457550226830854,2.8,Eastern Europe
DE,2015,1444.0,4.4,Western Europe
DE,2016,1444.0,3.9,Western Europe
DE,2017,1506.0,3.5,Western Europe
DE,2018,1506.0,3.2,Western Europe
DE,2019,1561.0,2.9,Western Europe
DE,2020,1544.0,3.6,Western Europe
DE,2021,1585.0,3.6,Western Europe
DE,2022,1634.0,3.1,Western Europe
DE,2023,1997.0,3.1,Western Europe
DE,2024,2054.0,3.4,Western Europe
DE,2025,2161.0,3.8,Western Europe
EE,2009,278.0,13.5,Northern Europe
EE,2010,278.0,16.6,Northern Europe
EE,2011,278.0,12.3,Northern Europe
EE,2012,290.0,9.9,Northern Europe
EE,2013,320.0,8.6,Northern Europe
EE,2014,355.0,7.3,Northern Europe
EE,2015,390.0,6.4,Northern Europe
EE,2016,430.0,6.8,Northern Europe
EE,2017,470.0,5.8,Northern Europe
EE,2018,500.0,5.4,Northern Europe
EE,2019,540.0,4.5,Northern Europe
EE,2020,584.0,6.9,Northern Europe
EE,2021,584.0,6.2,Northern Europe
EE,2022,654.0,5.6,Northern Europe
EE,2023,725.0,6.4,Northern Europe
EE,2024,820.0,7.6,Northern Europe
EE,2025,886.0,7.5,Northern Europe
EL,2009,818.0,9.8,Southern Europe
EL,2010,863.0,12.9,Southern Europe
EL,2011,863.0,18.1,Southern Europe
EL,2012,877.0,24.8,Southern Europe
EL,2013,684.0,27.8,Southern Europe
EL,2014,684.0,26.6,Southern Europe
EL,2015,684.0,25.0,Southern Europe
EL,2016,684.0,23.9,Southern Europe
EL,2017,684.0,21.8,Southern Europe
EL,2018,684.0,19.7,Southern Europe
EL,2019,684.0,17.9,Southern Europe
EL,2020,758.0,17.6,Southern Europe
EL,2021,758.0,14.7,Southern Europe
EL,2022,774.0,12.5,Southern Europe
EL,2023,832.0,11.1,Southern Europe
EL,2024,910.0,10.1,Southern Europe
EL,2025,968.0,8.9,Southern Europe
ES,2009,728.0,17.9,Southern Europe
ES,2010,739.0,19.9,Southern Europe
ES,2011,748.0,21.4,Southern Europe
ES,2012,748.0,24.8,Southern Europe
ES,2013,753.0,26.1,Southern Europe
ES,2014,753.0,24.5,Southern Europe
ES,2015,757.0,22.1,Southern Europe
ES,2016,764.0,19.6,Southern Europe
ES,2017,826.0,17.2,Southern Europe
ES,2018,859.0,15.3,Southern Europe
ES,2019,1050.0,14.1,Southern Europe
ES,2020,1108.0,15.5,Southern Europe
ES,2021,1108.0,14.9,Southern Europe
ES,2022,1126.0,13.0,Southern Europe
ES,2023,1167.0,12.2,Southern Europe
ES,2024,1323.0,11.4,Southern Europe
ES,2025,1381.0,10.5,Southern Europe
FR,2003,1154.0,8.5,Western Europe
FR,2004,1215.0,8.9,Western Europe
FR,2005,1286.0,8.9,Western Europe
FR,2006,1218.0,8.9,Western Europe
FR,2007,1254.0,8.0,Western Europe
FR,2008,1280.0,7.4,Western Europe
FR,2009,1321.0,9.1,Western Europe
FR,2010,1344.0,9.3,Western Europe
FR,2011,1365.0,9.2,Western Europe
FR,2012,1398.0,9.8,Western Europe
FR,2013,1430.0,10.3,Western Europe
FR,2014,1445.0,10.3,Western Europe
FR,2015,1458.0,10.3,Western Europe
FR,2016,1467.0,10.1,Western Europe
FR,2017,1480.0,9.4,Western Europe
FR,2018,1498.0,9.0,Western Europe
FR,2019,1521.0,8.4,Western Europe
FR,2020,1539.0,8.0,Western Europe
FR,2021,1555.0,7.9,Western Europe
FR,2022,1603.0,7.3,Western Europe
FR,2023,1709.0,7.3,Western Europe
FR,2024,1767.0,7.4,Western Europe
FR,2025,1802.0,7.7,Western Europe
HR,2009,373.0,9.1,Southern Europe
HR,2010,385.0,11.7,Southern Europe
HR,2011,381.0,13.6,Southern Europe
HR,2012,373.0,16.1,Southern Europe
HR,2013,372.0,17.3,Southern Europe
HR,2014,396.0,17.3,Southern Europe
HR,2015,396.0,16.2,Southern Europe
HR,2016,408.0,13.0,Southern Europe
HR,2017,433.0,11.1,Southern Europe
HR,2018,462.0,8.3,Southern Europe
HR,2019,506.0,6.6,Southern Europe
HR,2020,546.0,7.4,Southern Europe
HR,2021,563.0,7.5,Southern Europe
HR,2022,624.0,6.8,Southern Europe
HR,2023,700.0,6.1,Southern Europe
HR,2024,840.0,5.0,Southern Europe
HR,2025,970.0,4.9,Southern Europe
HU,2009,0.9560161238540292,9.7,Eastern Europe
HU,2010,0.9873675039930303,10.8,Eastern Europe
HU,2011,1.0058345563231557,10.7,Eastern Europe
HU,2012,1.0233362143474503,10.7,Eastern Europe
HU,2013,1.128440057937818,9.8,Eastern Europe
HU,2014,1.1078358329824107,7.5,Eastern Europe
HU,2015,1.0741935483870968,6.6,Eastern Europe
HU,2016,1.1270228615463653,5.0,Eastern Europe
HU,2017,1.3325139881626185,4.0,Eastern Europe
HU,2018,1.3954655210260591,3.6,Eastern Europe
HU,2019,1.4263756532431602,3.3,Eastern Europe
HU,2020,1.3864768683274022,4.1,Eastern Europe
HU,2021,1.2328461452638626,4.0,Eastern Europe
HU,2022,1.3851619003807916,3.6,Eastern Europe
HU,2023,1.5163022129108288,4.1,Eastern Europe
HU,2024,1.7632178092587907,4.5,Eastern Europe
HU,2025,1.7774090554843252,4.4,Eastern Europe
IE,2009,1462.0,12.6,Western Europe
IE,2010,1462.0,14.6,Western Europe
IE,2011,1462.0,15.4,Western Europe
IE,2012,1462.0,15.5,Western Europe
IE,2013,1462.0,13.8,Western Europe
IE,2014,1462.0,11.9,Western Europe
IE,2015,1462.0,9.9,Western Europe
IE,2016,1546.0,8.4,Western Europe
IE,2017,1563.0,6.7,Western Europe
IE,2018,1614.0,5.8,Western Europe
IE,2019,1656.0,5.0,Western Europe
IE,2020,1656.0,5.9,Western Europe
IE,2021,1724.0,6.2,Western Europe
IE,2022,1775.0,4.5,Western Europe
IE,2023,1910.0,4.3,Western Europe
IE,2024,2146.0,4.3,Western Europe
IE,2025,2282.0,4.7,Western Europe
LT,2009,232.0,13.8,Northern Europe
LT,2010,232.0,17.8,Northern Europe
LT,2011,232.0,15.4,Northern Europe
LT,2012,232.0,13.4,Northern Europe
LT,2013,290.0,11.8,Northern Europe
LT,2014,290.0,10.7,Northern Europe
LT,2015,300.0,9.1,Northern Europe
LT,2016,350.0,7.9,Northern Europe
LT,2017,380.0,7.1,Northern Europe
LT,2018,400.0,6.2,Northern Europe
LT,2019,555.0,6.3,Northern Europe
LT,2020,607.0,8.5,Northern Europe
LT,2021,642.0,7.1,Northern Europe
LT,2022,730.0,6.0,Northern Europe
LT,2023,840.0,6.9,Northern Europe
LT,2024,924.0,7.1,Northern Europe
LT,2025,1038.0,6.9,Northern Europe
LU,2009,1642.0,5.1,Western Europe
LU,2010,1683.0,4.4,Western Europe
LU,2011,1758.0,4.9,Western Europe
LU,2012,1801.0,5.1,Western Europe
LU,2013,1874.0,5.9,Western Europe
LU,2014,1921.0,5.9,Western Europe
LU,2015,1923.0,6.7,Western Europe
LU,2016,1923.0,6.3,Western Europe
LU,2017,1999.0,5.5,Western Europe
LU,2018,1999.0,5.6,Western Europe
LU,2019,2090.0,5.6,Western Europe
LU,2020,2142.0,6.8,Western Europe
LU,2021,2202.0,5.3,Western Europe
LU,2022,2257.0,4.6,Western Europe
LU,2023,2387.0,5.2,Western Europe
LU,2024,2571.0,6.4,Western Europe
LU,2025,2638.0,6.5,Western Europe
LV,2009,254.0,17.7,Northern Europe
LV,2010,254.0,19.7,Northern Europe
LV,2011,282.0,16.3,Northern Europe
LV,2012,286.0,15.1,Northern Europe
LV,2013,287.0,11.9,Northern Europe
LV,2014,320.0,10.9,Northern Europe
LV,2015,360.0,9.9,Northern Europe
LV,2016,370.0,9.7,Northern Europe
LV,2017,380.0,8.7,Northern Europe
LV,2018,430.0,7.4,Northern Europe
LV,2019,430.0,6.3,Northern Europe
LV,2020,430.0,8.1,Northern Europe
LV,2021,500.0,7.6,Northern Europe
LV,2022,500.0,6.9,Northern Europe
LV,2023,620.0,6.5,Northern Europe
LV,2024,700.0,6.9,Northern Europe
LV,2025,740.0,6.9,Northern Europe
ME,2014,288.0,18.0,Other
ME,2015,288.0,17.6,Other
ME,2016,288.0,17.8,Other
ME,2017,288.0,16.1,Other
ME,2018,288.0,15.2,Other
ME,2019,288.0,15.2,Other
ME,2020,331.0,17.9,Other
MK,2013,3.231306324592027,29.0,Eastern Europe
MK,2014,3.4726504436554353,28.0,Eastern Europe
MK,2015,3.473405723004009,26.1,Eastern Europe
MK,2016,3.685334155904246,23.7,Eastern Europe
