region,year,min_wage_eur,unemployment_rate
Eastern Europe,2009,286.431259198204,8.866666666666667
Eastern Europe,2010,263.8003236687709,11.971428571428572
Eastern Europe,2011,278.3373749904031,12.47142857142857
Eastern Europe,2012,293.2562866977402,12.857142857142858
Eastern Europe,2013,279.90368745361235,14.700000000000001
Eastern Europe,2014,299.84572590249047,13.200000000000001
Eastern Europe,2015,320.3198207468038,11.8125
Eastern Europe,2016,341.0675003283444,10.112499999999999
Eastern Europe,2017,374.46652350685326,8.7875
Eastern Europe,2018,440.0968727412783,7.7875000000000005
Eastern Europe,2019,473.5424484896607,6.6375
Eastern Europe,2020,522.9041154083014,6.875
Eastern Europe,2021,542.935623157762,6.8125
Eastern Europe,2022,580.8081206872715,6.075
Eastern Europe,2023,666.4471572023557,5.9750000000000005
Eastern Europe,2024,761.8299966234689,5.7250000000000005
Eastern Europe,2025,869.435830716019,5.6875
Northern Europe,2009,288.22222222222223,15.0
Northern Europe,2010,292.6666666666667,18.033333333333335
Northern Europe,2011,300.77777777777777,14.666666666666666
Northern Europe,2012,304.55555555555554,12.8
Northern Europe,2013,338.8888888888889,10.766666666666667
Northern Europe,2014,363.3333333333333,9.633333333333333
Northern Europe,2015,395.8888888888889,8.466666666666667
Northern Europe,2016,431.22222222222223,8.133333333333333
Northern Europe,2017,458.1111111111111,7.199999999999999
Northern Europe,2018,490.6666666666667,6.333333333333333
Northern Europe,2019,561.5555555555555,5.699999999999999
Northern Europe,2020,593.0,7.833333333333333
Northern Europe,2021,628.3333333333334,6.966666666666666
Northern Europe,2022,663.5555555555555,6.166666666666667
Northern Europe,2023,763.0,6.6000000000000005
Northern Europe,2024,855.1111111111111,7.199999999999999
Northern Europe,2025,932.3333333333334,7.1000000000000005
Other,2009,226.83494367651363,12.6
Other,2010,265.7984806745137,10.699999999999998
Other,2011,246.81324322012145,8.8
Other,2012,262.3730278798358,8.2
Other,2013,260.9038879021117,8.8
Other,2014,297.36449911118757,13.950000000000001
Other,2015,306.71346333939294,13.950000000000001
Other,2016,329.59153630644374,14.350000000000001
Other,2017,303.2118785290168,13.5
Other,2018,274.43024043543517,13.049999999999999
Other,2019,280.59448761101845,14.449999999999998
Other,2020,289.3437061591369,15.549999999999999
Other,2021,151.471912535038,12.0
Other,2022,115.38225878099966,10.5
Other,2023,147.55606625853562,9.4
Other,2024,203.12930448031395,8.8
Other,2025,298.04021322694297,8.4
Southern Europe,2009,637.8333333333334,10.133333333333333
Southern Europe,2010,659.8888888888889,11.883333333333333
Southern Europe,2011,690.2777777777778,13.533333333333333
Southern Europe,2012,699.9444444444445,16.233333333333334
Southern Europe,2013,677.1111111111111,17.433333333333334
Southern Europe,2014,687.4444444444445,16.4
Southern Europe,2015,694.4444444444445,15.116666666666667
Southern Europe,2016,703.1666666666666,13.45
Southern Europe,2017,726.5,11.649999999999999
Southern Europe,2018,748.6666666666666,9.933333333333334
Southern Europe,2019,803.2777777777778,8.95
Southern Europe,2020,847.5,9.583333333333334
Southern Europe,2021,877.3888888888889,8.733333333333333
Southern Europe,2022,910.2777777777778,7.666666666666667
Southern Europe,2023,981.4761904761905,6.985714285714285
Southern Europe,2024,1076.8095238095239,6.4
Southern Europe,2025,1132.142857142857,5.957142857142857
Western Europe,2003,1116.0,8.5
Western Europe,2004,1171.3333333333333,8.9
Western Europe,2005,1247.6666666666667,8.9
Western Europe,2006,1179.3333333333333,8.9
Western Europe,2007,1214.6666666666667,8.0
Western Europe,2008,1235.0,7.400000000000001
Western Europe,2009,1374.8,8.04
Western Europe,2010,1393.4666666666667,8.56
Western Europe,2011,1418.1333333333334,8.54
Western Europe,2012,1440.6666666666667,8.96
Western Europe,2013,1474.4,9.360000000000001
Western Europe,2014,1483.8,9.04
Western Europe,2015,1476.1666666666667,7.983333333333334
Western Europe,2016,1489.3333333333333,7.2666666666666675
Western Europe,2017,1523.388888888889,6.366666666666667
Western Europe,2018,1543.111111111111,5.75
Western Europe,2019,1580.0,5.300000000000001
Western Europe,2020,1590.0,5.833333333333333
Western Europe,2021,1627.4444444444443,5.583333333333333
Western Europe,2022,1671.1666666666667,4.766666666666667
Western Europe,2023,1869.0555555555557,4.833333333333333
Western Europe,2024,1981.611111111111,5.15
Western Europe,2025,2067.0555555555557,5.466666666666667
